# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.2

arena1mobs, long, 0000000000000019
locationarena1::27, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C051BAD0481942DB017909404C000000000000017A094060ADFC0E9222DD0570697463680841280000037961770843314DE0
locationarena1::28, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04E81C32747BB7F017909404B800000000000017A09405CEBE5B380DC1A05706974636808410666600379617708C32FCC60
locationarena1::29, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0509DC3A96585CA017909404D000000000000017A09405BA1C2C6371B810570697463680841CC00080379617708C2203120
locationarena1::30, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0549E84693CA0C7017909404B800000000000017A09405B22210D61181C057069746368084179999D0379617708C1CF94C0
locationarena2::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FF853B3307C1779017909404F800000000000017A09405DE223DF11C14F05706974636808C023337B037961770842C13450
locationarena2::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809401A2556E4089E850179094050000000000000017A0940606E2683CB4AC20570697463680840E199970379617708C3278C68
locationarena2::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940334CCCCD000000017909404F800000000000017A09405DD3333340000005706974636808409999BC0379617708C2229700
locationarena2::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094030B33333000000017909404F800000000000017A09405C2CCCCCC00000057069746368083F8666DD037961770843050D58
locationarena2::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094041C608DBDF8A830179094050000000000000017A09405CE1F2240033DF0570697463680841F000030379617708C309D938
locationarena2::6, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094040C310A007534E017909404F800000000000017A09405E9D3E98F11AE705706974636808BE199B1C037961770842D080E0
locationarena2::7, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094040C76896F233D80179094050000000000000017A094060326B1F2F136C05706974636808400665E303796177084301E6B8
locationarena2::8, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094037889B5174B427017909404F800000000000017A0940602E754510F98405706974636808C040007F037961770843173370
locationarena2::9, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940231D1702EC96C5017909404F800000000000017A09405A9C0CD3FA899705706974636808BEE6667E0379617708C21EFF00
locationarena2::10, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FF4C1458AF325AB0179094050840000000000017A09405920BD972F5D450570697463680840B1997D0379617708C2306480
locationarena2::11, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809BFDBC3DE1E261789017909404F800000000000017A09405BA52F2D5DB258057069746368083F99991A0379617708C2439940
locationarena2::12, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940319421F5BC61F80179094051000000000000017A094058D044AF627D6605706974636808410B33210379617708405CCC00
locationarena2::13, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809403D821234A426B0017909404F800000000000017A094059DF470A501EA6057069746368084006664A0379617708422AFF00
locationarena2::14, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094043BF6CA969C49A0179094051800000000000017A094059E1D431EB501905706974636808412CCCC60379617708426BC980
locationarena2::15, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940465999998000000179094050000000000000017A09405DACCCCCC0000005706974636808BFD33377037961770842BC1720
locationarena2::16, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094043400870AD34390179094050800000000000017A094060C18534B3E440057069746368084138CCC803796177084303FEB0
locationarena2::17, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940455999998000000179094050800000000000017A094061166666600000057069746368084112666303796177084304E510
locationarena2::18, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809403B754FC2D3DAB20179094050400000000000017A0940617666666000000570697463680840ACCCD3037961770843336520
locationarena2::19, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809402F2253EBC72C710179094050800000000000017A0940616EB5D19401640570697463680840D7FFFB0379617708C3328150
locationarena2::20, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809400B4CEEA3CF8C780179094050C00000000000017A094061364780352B630570697463680840D333010379617708C316C190
locationarena2g::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C00396A73A104A80017909404E000000000000017A094060CD46B5CCDC85057069746368083FE666140379617708C333DB00
locationarena2g::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809BFE26F762F852AE3017909404E000000000000017A09405F6AFF5D787B0305706974636808BF4001640379617708C2DB0300
locationarena2g::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809401C9C17E64E1512017909404E000000000000017A09405E3B039417B61405706974636808C0D3337E0379617708C32DDB00
locationarena2g::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809401160DC08F110D5017909404E000000000000017A09405BEA322906E4B2057069746368083E1991C90379617708431ACB90
locationarena2g::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094021E72488A7AC21017909404E000000000000017A0940594107FA7C543805706974636808418D998E0379617708C28D02E0
locationarena2g::6, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809403337E7746E02A3017909404E000000000000017A09405A2642E0B06D7C05706974636808414E66520379617708C2786DC0
locationarena2g::7, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809403B92A515610B58017909404E000000000000017A09405BB6AB7637995C0570697463680840BFFFDA037961770840B62E00
locationarena2g::8, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094043182B8BD7265B017909404E000000000000017A09405A511B91CDCE10057069746368084103FFDF0379617708410D8400
locationarena2g::9, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094043918A54491336017909404E800000000000017A09405EF0EE9B6805990570697463680840E6665303796177083E144000
locationarena2g::10, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094042A9368B82814D017909404E000000000000017A094061450C8D89A3C605706974636808C02CCCEA037961770842EE3120
locationarena2g::11, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940388E57661151D8017909404E000000000000017A09406105BE64E94D5105706974636808C0BB33500379617708430D7220
locationarena2g::12, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809403067191981AC7C017909404E000000000000017A0940601586E681892905706974636808427399970379617708430B0C00
locationarena3::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03F8ED149E323AC0179094047000000000000017A09406A41CBB63AC3BA05706974636808C18B329E0379617708C330DA50
locationarena3::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0337DCCE6A6FD2F0179094047000000000000017A09406A5A1E3A3A6DC205706974636808C191329E0379617708432CA5B0
locationarena3::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C033778D546CE4E80179094047000000000000017A09406BE7683DBAA11405706974636808404004C80379617708BF40C400
locationarena3::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04000FA2DB3B16F0179094047080000000000017A09406BE5B0B4DE467705706974636808C12CCB950379617708C32EC0BC
locationarena3::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0422AB29D8100180179094047000000000000017A09406CDEF883D20E3F05706974636808405CD1B5037961770842353030
locationarena3::6, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03CA1F6120BF1990179094047000000000000017A09406DBF4E1ED2964905706974636808412F346F0379617708C28C1B0C
locationarena3::7, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C034F33D259C6E870179094047080000000000017A09406DE23DE06D4A5605706974636808410B34700379617708C2BE8170
locationarena3::8, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C02DB4DB536BA5590179094047000000000000017A09406D3A811D8C618605706974636808399D96000379617708C3104D86
locationarena3::9, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C032358F996E2F800179094047000000000000017A09406F19B754E2DF5C0570697463680841700141037961770840B18140
locationarena3::10, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03D462059EFCEF10179094047080000000000017A094070063339C978690570697463680840C00281037961770840496800
locationarena3::11, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C044B2A6864B195B0179094047080000000000017A09406EF02B0BEB74B905706974636808C0532E1A0379617708C30940CE
locationarena3::12, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04A288C5E2379790179094047000000000000017A09406FF83CE8855AE705706974636808C08B30A303796177084332CBFC
locationarena3::13, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C048C408A6CA3BA40179094047000000000000017A09406E4DF5838366560570697463680840F0028C0379617708C2EF680B
locationarena3::14, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C049FE6E1782B4E90179094047000000000000017A09406CDE02C41C4E8105706974636808C09E63D40379617708C33100D4
locationarena3::15, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C048B0E8E0B1292F0179094047000000000000017A09406B7AA48CA3E97D057069746368083F667B350379617708C268368F
locationarena3::16, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04AE472965FA69A0179094047080000000000017A09406A19808CBB5572057069746368084090029C0379617708431A7F29
locationarena3::17, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C045C0BF93F1CFE10179094047000000000000017A0940699D7C29C4C33E05706974636808410B34800379617708C2D3CE7E
locationarena3::18, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C024D0499F95342C0179094047000000000000017A09406AC14FC264A15505706974636808C0BFFD680379617708C2D3CE7F
locationarena3::19, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C021B81D34CE8C790179094047000000000000017A0940698199F8618C0005706974636808C03FFACE037961770843243F25
locationarena3::20, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094002DB5B159F617F0179094047000000000000017A0940697E741E9726A405706974636808C161984C0379617708420C62F9
locationarena3::21, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C00067B0AA7D58AD0179094047000000000000017A09406AF1A3240FDF130570697463680840366BA80379617708422FC95F
locationarena3::22, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C01C4CF110D4D0520179094047000000000000017A09406BF8DC51A17496057069746368083EE6906C037961770841F25F8A
locationarena3::23, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE28D222010B57C0179094047000000000000017A09406D358F4D1BADE105706974636808C066611D037961770842E8CB17
locationarena3::24, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C01862E528D284B90179094047000000000000017A09406E0BF5C89E7D05057069746368084023388B03796177084188C5F0
locationarena3::25, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FF7249224EB15EF0179094047000000000000017A09406F3418DA42BAD8057069746368083FE6713D037961770842EDE4B4
locationarena3::26, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C020C204985D90840179094047080000000000017A09406FBD74EF18191705706974636808BFF98EAC03796177084320A58B
locationarena3::27, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C02C4091C59684570179094047080000000000017A09406EDE1208D135AF05706974636808C0EFFD450379617708430AE58C
locationarena3::28, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C034A5CEA5FCD2D70179094047080000000000017A09406FFF11AB943BE005706974636808C0B196D90379617708432FF25B
locationarena3::29, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03A635B787E5B25017909404C880000000000017A09406CBEF47B425A0805706974636808C08FFFFF0379617708C333DA70
locationarena3::30, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0402E65586D24AF017909404C800000000000017A09406DA20723FE1E2F05706974636808C0B6667B0379617708C330DA6F
locationarena3::31, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C042BF6F85509691017909404C800000000000017A09406BDA4772F70FFE057069746368084117332B03796177084220C964
locationarena3::32, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C034D3282F71D51E017909404C800000000000017A09406B9C371EFECE3605706974636808C01999A20379617708419392D2
locationarena3::33, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C02DAD0DFBA6D9EC017909404C800000000000017A09406CC59342BF0E1F05706974636808415A666A0379617708C2B401B4
locationarena3g::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C008141B47EC8178017909404C402D01CE81E9017A09406A64BF2CDACE18057069746368084036669E037961770843314BED
locationarena3g::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C039963EFD603EA3017909404C402D01CE81E9017A09406EB07AF8BBD1F005706974636808BFBFFFCA0379617708C332340E
locationarena3g::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C049C89207730774017909404C402D01CE81E9017A09406E7FC85E7321A7057069746368084070001C0379617708C31CC0DA
locationarena3g::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04A1C5E0B5812B5017909404C402D01CE81E9017A09406CC3279BF0FAFB05706974636808C02CCCB40379617708C2B581B8
locationarena3g::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C048454844A504BB017909404C402D01CE81E9017A094069E30A7B0AF1090570697463680840A8000D0379617708BFFA0900
locationarena3g::6, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C039867F539B17A3017909404C402D01CE81E9017A09406A78875CB4864705706974636808C006664B0379617708C3325A79
points::0bed7147-fa4c-4e48-b608-839756136775, long, 000000000000000A
points::016e7f53-dea0-413c-9609-31bc74b59e14, long, 000000000000000A
points::a690f470-5ddd-4af8-a24e-265f91a6c597, long, 00000000000000C5
points::a330250f-0159-4f49-929d-d59e2b883264, long, 000000000000000A
points::dd293f7f-413e-496f-9d2d-08bcfb51d64f, long, 000000000000000A
points::ff47729b-d0d2-4af0-98b1-1c0a7e1b0eef, long, 000000000000000A
reward::a690f470-5ddd-4af8-a24e-265f91a6c597, date, 810974696D657374616D70040000019207468FA7
spawnlocarena1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C044C000000000000179094050C00000000000017A09405BE00000000000057069746368084138CCCA03796177084324DD9B
spawnlocarena2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0270000000000000179094050C00000000000017A09405CA000000000000570697463680841ACCCD10379617708C2366474
spawnlocarena3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03A8000000000000179094051000000000000017A094060700000000000057069746368083F199B0303796177083E1B8000

